msrp,invoice,disp,cyl,hp,weight,wheelbase,length,width,sports,suv,wagon,minivan,pickup,AWD,RWD,coupe,sedan,mpgclass,cmpg,hmpg
27370,25105,4.6,8,224,4057,115,212,78,0,0,0,0,0,0,1,0,1,0,17,25
72250,65807,4.4,8,282,5379,113,195,76,0,1,0,0,0,1,0,0,0,0,12,16
26860,24909,3.5,6,232,3548,113,208,74,0,0,0,0,0,0,0,0,1,1,19,27
11905,11410,1.6,4,104,2447,95,167,66,0,0,1,0,0,0,0,0,0,2,26,33
38380,35063,3.8,6,215,4331,119,201,79,0,0,0,1,0,0,0,0,0,1,18,25
52800,49104,5,8,302,3585,107,183,69,0,0,0,0,0,0,1,1,0,0,17,22
41045,37575,3,6,225,2998,98,161,70,1,0,0,0,0,0,1,1,0,2,21,29
19339,17574,2.7,6,170,3217,106,187,72,0,0,0,0,0,0,0,0,1,1,19,27
32780,30019,3.5,6,240,4175,124,204,78,0,0,0,1,0,0,0,0,0,1,18,25
17200,15922,2.3,4,160,2762,,,,0,0,0,0,0,0,0,0,1,,,
34895,31756,3.5,6,280,4056,112,189,76,0,0,1,0,0,0,1,0,0,0,16,22
21589,20201,2.7,6,173,3549,103,177,73,0,1,0,0,0,0,0,0,0,1,20,26
44535,39068,5.7,8,350,3246,105,180,74,1,0,0,0,0,0,1,1,0,1,18,25
42735,37422,5.3,8,295,4947,130,219,79,0,1,0,0,0,0,0,0,0,0,14,18
22035,20502,2.7,6,200,3469,113,204,75,0,0,0,0,0,0,0,0,1,2,21,29
31545,29130,2.5,4,300,3263,100,174,69,1,0,0,0,0,1,0,0,1,1,18,24
24130,22452,2.7,6,200,3479,113,208,74,0,0,0,0,0,0,0,0,1,2,21,29
84600,76417,4.2,8,450,4024,109,191,78,1,0,0,0,0,0,0,0,1,0,15,22
24780,22958,3.5,6,240,4012,124,204,78,0,0,0,1,0,0,0,0,0,1,19,26
33895,31065,2.5,6,184,2932,98,161,70,1,0,0,0,0,0,1,1,0,1,20,28
90520,84325,5,8,302,4065,101,179,72,1,0,0,0,0,0,1,1,0,0,16,23
25130,22787,1.8,4,138,2195,97,153,67,1,0,0,0,0,0,1,1,0,2,26,32
12740,12205,1.8,4,126,2513,100,178,67,0,0,0,0,0,0,0,0,1,2,28,35
45700,39838,4.7,8,235,4740,110,188,74,0,1,0,0,0,1,0,0,0,0,15,19
73195,66830,4.4,8,325,4464,123,204,75,0,0,0,0,0,0,1,0,1,1,18,26
35695,31827,4.7,8,240,5270,118,204,78,0,1,0,0,0,1,0,0,0,0,14,17
24950,22498,3.5,6,240,4310,118,201,76,0,0,0,1,0,0,0,0,0,1,18,25
26135,24641,1.9,4,170,2822,101,180,68,0,0,1,0,0,0,0,0,0,2,22,29
23215,21689,2,4,115,3082,99,161,68,0,0,0,0,0,0,0,1,0,2,24,30
89765,79978,3.2,6,290,3153,100,174,71,1,0,0,0,0,0,1,1,0,0,17,24
17495,16295,2.4,4,160,3020,102,181,67,0,0,1,0,0,0,0,0,0,,,
40720,36927,3.8,6,240,3909,114,207,75,0,0,0,0,0,0,0,0,1,1,18,28
18345,16943,3.8,6,193,3290,101,183,73,1,0,0,0,0,0,1,1,0,1,20,29
29995,27317,4,6,210,4374,114,190,72,0,1,0,0,0,0,0,0,0,0,16,21
28739,27300,3.5,6,245,3801,111,188,74,0,0,1,0,0,0,1,0,0,1,20,25
34390,31845,3.5,6,287,3428,104,169,72,1,0,0,0,0,0,1,1,0,1,20,26
37560,35382,2.5,5,300,3571,107,181,71,0,0,0,0,0,1,0,0,1,1,18,25
21087,19742,2,4,130,3091,103,173,72,0,1,0,0,0,1,0,0,0,2,22,25
17640,16444,2.5,4,165,2761,100,178,67,0,0,0,0,0,0,0,0,1,2,23,28
46265,40534,6,8,325,6133,130,219,79,0,1,0,0,0,1,0,0,0,0,13,17
26510,23908,3.3,6,225,3439,107,193,72,0,0,0,0,0,0,0,1,0,1,20,29
41010,36196,3,6,220,3649,110,189,71,0,0,0,0,0,0,1,0,1,1,18,25
41250,38851,2.9,6,268,4638,113,189,75,0,1,0,0,0,1,0,0,0,0,15,20
14500,14317,2.3,4,155,2676,98,171,68,0,0,0,0,0,0,0,0,1,2,25,31
25215,23451,2.4,4,150,3357,106,194,64,0,0,0,0,0,0,0,1,0,2,22,30
18690,17334,2.4,4,160,3468,101,167,72,0,1,0,0,0,1,0,0,0,2,21,24
33180,30583,2.8,6,190,3721,106,185,69,0,0,0,0,0,0,0,0,1,1,19,26
25520,23275,4,6,190,3575,93,150,67,0,1,0,0,0,1,0,1,0,0,16,19
192465,173560,3.6,6,477,3131,93,175,72,1,0,0,0,0,0,1,1,0,0,17,24
14085,13065,1.8,4,130,2502,102,178,67,0,0,0,0,0,0,0,0,1,2,32,40
20370,18639,3.5,6,200,3297,106,188,70,0,0,0,0,0,0,0,0,1,2,22,30
22735,20857,3,6,201,3313,109,198,73,0,0,0,0,0,0,0,0,1,1,19,26
13270,12482,2,4,130,2612,103,168,67,0,0,0,0,0,0,0,1,0,2,26,33
20255,19108,2.5,6,165,2866,98,163,67,0,1,0,0,0,0,0,0,0,1,19,22
12884,12719,2.3,4,155,2676,98,171,68,0,0,0,0,0,0,0,0,1,2,25,31
19635,17722,2.4,4,157,3175,107,193,72,0,0,0,0,0,0,0,1,0,2,24,33
21840,20284,2.7,6,200,3222,108,191,71,0,0,0,0,0,0,0,0,1,2,21,28
52795,48377,5.3,8,295,5367,116,199,79,0,1,0,0,0,0,0,0,0,0,14,18
44925,41217,4.6,8,239,4369,118,215,78,0,0,0,0,0,0,1,0,1,0,17,25
37630,35046,3.2,6,215,3450,107,178,68,0,0,0,0,0,0,1,0,1,1,20,26
37245,34115,3,6,225,3483,107,176,69,0,0,0,0,0,1,0,0,1,1,20,29
32660,29812,3.8,6,215,4440,119,201,79,0,0,0,1,0,1,0,0,0,1,18,25
19860,18419,2.4,4,160,3258,103,179,70,0,1,0,0,0,1,0,0,0,2,21,25
29322,25759,6,8,300,5440,133,256,80,0,0,0,0,1,1,0,0,0,0,12,16
26992,25218,3,6,210,3296,101,177,69,1,0,0,0,0,0,0,1,0,2,21,28
43495,39869,3.9,8,280,3768,115,194,73,0,0,0,0,0,0,1,0,1,0,17,24
50470,46208,4.6,8,239,4474,124,221,78,0,0,0,0,0,0,1,0,1,0,17,25
37000,33873,3,6,225,4023,110,180,73,0,1,0,0,0,1,0,0,0,0,16,23
15568,15378,2,4,119,2756,102,177,68,0,0,0,0,0,0,0,0,1,2,22,30
32235,29472,4.7,8,230,4987,119,201,76,0,1,0,0,0,1,0,0,0,0,15,21
25940,23508,1.8,4,170,3252,104,179,70,0,0,0,0,0,0,0,0,1,2,22,31
17163,16949,2.5,6,165,3020,98,163,67,0,1,0,0,0,1,0,0,0,1,19,22
13270,12175,1.7,4,115,2432,103,175,67,0,0,0,0,0,0,0,1,0,2,32,38
37895,34357,4.2,6,275,4600,113,193,75,0,1,0,0,0,1,0,0,0,0,15,21
33995,30846,4.2,6,201,4340,121,202,77,0,0,0,1,0,0,0,0,0,0,16,23
25045,23022,2,4,227,3085,99,174,69,1,0,0,0,0,1,0,0,1,1,20,27
21595,19848,3,6,155,3308,109,200,73,0,0,0,0,0,0,0,0,1,1,20,27
25717,22604,4.8,8,285,4548,144,222,79,0,0,0,0,1,0,1,0,0,0,17,20
30492,28330,3.8,6,215,4134,109,190,74,0,1,0,0,0,1,0,0,0,0,17,21
17262,17053,2.5,6,155,3380,106,188,72,0,0,0,0,0,0,0,0,1,1,20,27
32415,28611,3,6,215,3285,105,177,68,0,0,0,0,0,0,1,0,1,1,18,24
52120,48522,3.2,6,349,3540,107,178,68,0,0,0,0,0,0,1,0,1,0,16,21
56170,52289,3.2,6,349,3220,95,158,68,1,0,0,0,0,0,1,1,0,0,17,22
20310,18480,4.3,6,200,4142,119,222,79,0,0,0,0,1,0,1,0,0,0,15,21
19110,17911,2,3,73,1850,95,155,67,0,0,0,0,0,0,0,1,0,2,60,66
10280,9875,1.6,4,104,2403,95,167,66,0,0,0,0,0,0,0,0,1,2,26,33
24955,22801,1.8,4,170,3338,106,184,69,0,0,1,0,0,0,0,0,0,2,22,31
54765,47986,4.7,8,325,5390,112,193,76,0,1,0,0,0,1,0,0,0,0,13,17
37730,35542,2.9,6,208,3576,110,190,72,0,0,0,0,0,0,0,0,1,1,20,28
31840,28846,3,6,220,3462,104,179,70,0,0,0,0,0,0,0,0,1,1,20,28
18760,17070,2.8,4,175,3623,111,205,68,0,0,0,0,1,1,0,0,0,1,18,23
27710,24801,4,6,245,4035,110,189,74,0,1,0,0,0,0,0,0,0,1,18,21
22595,20748,3,6,155,3488,109,198,73,0,0,1,0,0,0,0,0,0,1,19,26
40095,36809,3.9,8,280,3768,115,194,73,0,0,0,0,0,0,1,0,1,0,17,24
75000,69130,6,12,420,5399,118,204,75,0,0,0,0,0,0,0,0,1,,,
22260,20080,2.4,4,160,3047,105,188,71,0,0,0,0,0,0,0,1,0,2,26,34
74995,68306,4.2,8,294,3980,102,187,71,1,0,0,0,0,0,1,1,0,1,18,26
74320,69168,4.3,8,275,4160,122,203,73,0,0,0,0,0,0,1,0,1,1,18,26
29670,26983,4,6,210,4463,114,190,72,0,1,0,0,0,1,0,0,0,0,15,20
26470,24282,3.8,6,205,3567,112,200,74,0,0,0,0,0,0,0,0,1,1,20,29
30860,29269,2,4,210,3175,105,183,69,0,0,0,0,0,0,0,0,1,1,20,28
14300,13393,2.2,4,140,2692,103,185,67,0,0,0,0,0,0,0,0,1,2,26,35
41475,36494,6.8,10,310,7190,137,227,80,0,1,0,0,0,1,0,0,0,,,
43365,37886,2.7,6,228,2811,95,170,70,1,0,0,0,0,0,1,1,0,1,20,29
15825,14811,2.2,4,140,2692,103,185,67,0,0,0,0,0,0,0,0,1,2,26,35
29865,27797,3.5,6,250,3581,113,198,74,0,0,0,0,0,0,0,0,1,1,18,27
20320,18881,3,6,155,3306,109,198,73,0,0,0,0,0,0,0,0,1,1,20,27
23560,21779,2.2,4,140,3109,107,190,69,0,0,1,0,0,0,0,0,0,2,24,34
31545,28603,3,6,212,3630,104,184,69,0,0,0,0,0,1,0,0,1,1,19,26
23895,21918,3,6,201,3315,109,200,73,0,0,0,0,0,0,0,0,1,1,19,26
27450,24744,3.5,6,240,4365,118,201,76,0,0,0,1,0,0,0,0,0,1,18,25
52195,47720,4.4,8,325,4824,111,184,74,0,1,0,0,0,1,0,0,0,0,16,22
15295,13889,1.8,4,130,2524,102,178,67,0,0,0,0,0,0,0,0,1,2,32,40
10539,10107,1.6,4,103,2255,96,167,66,0,0,0,0,0,0,0,1,0,2,29,33
21965,19819,3.3,6,225,3417,107,193,72,0,0,0,0,0,0,0,1,0,1,20,29
18435,16850,2.7,6,170,3279,106,186,72,0,0,0,0,0,0,0,0,1,1,20,27
27490,25371,3.3,6,180,4068,119,201,79,0,0,0,1,0,0,0,0,0,1,19,26
50595,46362,4.6,8,300,4044,115,207,74,0,0,0,0,0,0,0,0,1,1,18,26
27145,24687,2.5,4,165,3495,104,184,69,0,0,0,0,0,1,0,0,1,1,20,27
36895,33929,3,6,232,3681,115,194,73,0,0,0,0,0,0,1,0,1,1,20,26
39465,37721,2.3,4,250,3470,106,190,71,0,0,0,0,0,0,0,0,1,2,21,29
30920,27271,3,6,210,3439,107,192,72,0,0,0,0,0,0,0,0,1,2,21,29
35920,33456,3.2,6,215,3430,107,178,68,0,0,0,0,0,0,1,0,1,1,19,26
20140,18451,1.4,4,93,2732,103,175,68,0,0,0,0,0,0,0,0,1,2,46,51
37995,34800,2.5,6,184,3560,107,177,69,0,0,0,0,0,0,1,1,0,1,19,27
14385,13717,2.3,4,143,3028,111,203,69,0,0,0,0,1,0,1,0,0,2,24,29
42490,38325,3,6,220,3814,105,180,70,0,0,0,0,0,0,0,1,0,1,20,27
32280,30071,2.6,6,168,3360,107,178,68,0,0,0,0,0,0,1,0,1,1,20,25
18715,17478,2,4,115,2897,99,165,68,0,0,0,0,0,0,0,0,1,2,24,31
25955,24172,2.4,4,220,3217,103,169,67,0,0,0,0,0,0,0,0,1,2,21,27
41815,38418,4.6,8,239,4369,118,215,78,0,0,0,0,0,0,1,0,1,0,17,25
